1538646441 3 231002
1538646813 375 582353
1538647210 772 725457
1538647597 1159 503330
1538647970 1532 682176
1538648358 1920 593634
1538648724 2286 522374
1538649090 2652 514614
1538649394 2956 491072
1538649767 3329 533628
1538650140 3702 539362
1538650442 4004 462974
1538650814 4376 664759
1538651211 4773 603530
1538652589 6151 603530

1538820550 3 305648
1538820601 3 228521
1538820979 381 927636
1538821377 779 866128
1538821751 1153 788606
1538822120 1522 927462
1538822508 1910 837106
1538822881 2283 829910
1538823250 2652 936796
1538823631 3033 750678
1538823990 3392 755588
1538824359 3761 680368
1538824728 4130 653978
1538825101 4503 700061
1538825463 4865 549769
1538825836 5238 726496
1538826199 5601 1055896
1538826596 5998 761163
1538826966 6368 754836
1538827329 6731 848446

1538828809 2 328280
1538829196 389 761098
1538829584 777 1001558
1538829947 1140 855818
1538830320 1513 1027026
1538830701 1894 748748
1538831077 2270 936478
1538831450 2643 888894
1538831861 3054 880028
1538832223 3416 974752
1538832596 3789 741944
1538832969 4162 525278
1538833332 4525 630385
1538833635 4828 534143
1538834008 5201 547016
1538834311 5504 649725
1538834721 5914 719663
1538835133 6326 887040
1538835506 6699 774960

1538836936 3 304126
1538837317 384 716421
1538837729 796 900657
1538838103 1170 620126
1538838476 1543 672666
1538838849 1916 829882
1538839221 2288 725156
1538839589 2656 1066748
1538840017 3084 839246
1538840392 3459 779808
1538840695 3762 594080
1538841064 4131 565972
1538841437 4504 880215
1538841834 4901 660118
1538842203 5270 651066
1538842575 5642 903972
1538842981 6048 918938
1538843355 6422 729336
1538843724 6791 915714

1538848211 2 312217
1538848592 383 734454
1538848973 764 942758
1538849370 1161 666710
1538849743 1534 891804
1538850125 1916 814884
1538850496 2287 814884
1538850869 2660 699978
1538851250 3041 958138
1538851631 3422 682804
1538852005 3796 703586
1538852373 4164 668660
1538852755 4546 962584
1538853152 4943 617928
1538853531 5322 891820
1538853912 5703 661672
1538854285 6076 652172
1538854657 6448 673182
1538855026 6817 682134
1538855395 7186 183020

1538857154 2 279871
1538857551 399 600532
1538857932 780 888046
1538858301 1149 866084
1538858682 1530 663046
1538859051 1899 605196
1538859419 2267 650052
1538859786 2634 650052
1538860154 3002 883392
1538860535 3383 631950
1538860897 3745 631950
1538861266 4114 593270
1538861634 4482 619966
1538861937 4785 626182
1538862240 5088 639990
1538862543 5391 711266
1538862846 5694 762274
1538863150 5998 720643
1538863453 6301 836613
1538863826 6674 751536
1538864129 6977 740100
1538864432 7280 58592

1538865205 2 323882
1538865602 399 766217
1538865982 779 936238
1538866355 1152 639336
1538866728 1525 686698
1538867101 1898 645074
1538867404 2201 635398
1538867776 2573 867338
1538868149 2946 781152
1538868521 3318 689394
1538868890 3687 664652
1538869193 3990 595958
1538869591 4388 717794
1538869964 4761 659946
1538870267 5064 614622
1538870635 5432 619162
1538871004 5801 698818
1538871377 6174 882148
1538871773 6570 595182
1538872142 6939 683614
1538872544 7341 635786
1538926312 2 332080
1538926396 3 247507
1538926416 2 247507
1538926475 3 247053
1538926757 3 249920
1538927162 2 333056
1538927213 3 332716
1538927271 4 332634
1538927420 2 249458
1538927698 3 331757
