1538646441 3 1 231094
1538646813 375 4 728051
1538647210 772 4 625067
1538647597 1159 9 658123
1538647970 1532 6 781656
1538648358 1920 6 504222
1538648724 2286 7 543247
1538649090 2652 8 559380
1538649394 2956 8 534289
1538649767 3329 6 682964
1538650140 3702 5 635213
1538650442 4004 5 543571
1538650814 4376 4 536411
1538651211 4773 8 694635
1538652589 6151 6 521428

1538820550 3 1 305855
1538820601 3 1 228723
1538820979 381 4 929300
1538821377 779 8 867234
1538821751 1153 7 788215
1538822120 1522 5 1007768
1538822508 1910 10 859647
1538822881 2283 7 812182
1538823250 2652 6 896136
1538823631 3033 10 852096
1538823990 3392 7 792710
1538824359 3761 6 682608
1538824728 4130 5 600741
1538825101 4503 4 702353
1538825463 4865 4 544836
1538825836 5238 6 726729
1538826199 5601 6 794856
1538826596 5998 10 871986
1538826966 6368 6 755330
1538827329 6731 4 798510

1538828809 2 1 328546
1538829196 389 7 1028658
1538829584 777 7 779969
1538829947 1140 7 728957
1538830320 1513 6 823880
1538830701 1894 10 912518
1538831077 2270 8 963635
1538831450 2643 7 766888
1538831861 3054 7 757869
1538832223 3416 7 778876
1538832596 3789 10 695534
1538832969 4162 7 535557
1538833332 4525 4 655389
1538833635 4828 4 665629
1538834008 5201 3 686632
1538834311 5504 3 793618
1538834721 5914 6 920361
1538835133 6326 6 887185
1538835506 6699 6 997852

1538836936 3 1 304525
1538837317 384 6 1046344
1538837729 796 6 988421
1538838103 1170 6 822566
1538838476 1543 5 672770
1538838849 1916 5 755605
1538839221 2288 5 647746
1538839589 2656 5 1064588
1538840017 3084 10 932481
1538840392 3459 6 991333
1538840695 3762 6 779654
1538841064 4131 4 555710
1538841437 4504 3 727085
1538841834 4901 8 790058
1538842203 5270 6 647230
1538842575 5642 4 741807
1538842981 6048 9 954847
1538843355 6422 8 641598
1538843724 6791 5 848556

1538848211 2 1 312404
1538848592 383 6 944845
1538848973 764 6 741758
1538849370 1161 10 867425
1538849743 1534 6 976423
1538850125 1916 10 807457
1538850496 2287 7 553645
1538850869 2660 5 878868
1538851250 3041 10 868140
1538851631 3422 9 685836
1538852005 3796 6 867923
1538852373 4164 5 844507
1538852755 4546 10 865667
1538853152 4943 10 706363
1538853531 5322 6 846862
1538853912 5703 10 761646
1538854285 6076 8 699093
1538854657 6448 10 802336
1538855026 6817 9 809534
1538855395 7186 8 101588

1538857154 2 1 280164
1538857551 399 8 870094
1538857932 780 8 657659
1538858301 1149 5 696431
1538858682 1530 10 830277
1538859051 1899 7 789486
1538859419 2267 6 799229
1538859786 2634 5 653569
1538860154 3002 4 711635
1538860535 3383 8 742532
1538860897 3745 6 584677
1538861266 4114 5 770657
1538861634 4482 5 750435
1538861937 4785 5 756118
1538862240 5088 5 750136
1538862543 5391 5 738949
1538862846 5694 5 782729
1538863150 5998 5 734538
1538863453 6301 5 770755
1538863826 6674 5 682230
1538864129 6977 5 726138
1538864432 7280 5 35528

1538865205 2 1 324236
1538865602 399 7 984426
1538865982 779 7 730984
1538866355 1152 7 642543
1538866728 1525 5 696459
1538867101 1898 5 813291
1538867404 2201 5 810161
1538867776 2573 5 701158
1538868149 2946 5 670680
1538868521 3318 5 690463
1538868890 3687 5 662586
1538869193 3990 5 760085
1538869591 4388 4 623212
1538869964 4761 4 655921
1538870267 5064 4 617924
1538870635 5432 4 779707
1538871004 5801 4 838121
1538871377 6174 4 717479
1538871773 6570 9 779213
1538872142 6939 6 843249
1538872544 7341 6 675713
1538926312 2 1 332094
1538926396 3 1 247595
1538926416 2 1 247595
1538926475 3 1 247259
1538926757 3 1 249826
1538927162 2 1 333377
1538927213 3 1 332822
1538927271 4 1 332489
1538927420 2 1 249576
1538927698 3 1 331903
