1538646441 3 1 113267
1538646813 375 1 275436
1538647210 772 2 340126
1538647597 1159 2 240125
1538647970 1532 2 315736
1538648358 1920 2 285829
1538648724 2286 2 245642
1538649090 2652 2 252524
1538649394 2956 2 228754
1538649767 3329 2 298560
1538650140 3702 2 248117
1538650442 4004 2 256525
1538650814 4376 2 302257
1538651211 4773 2 281397
1538652589 6151 11 281397

1538820550 3 1 151253
1538820601 3 1 113585
1538820979 381 1 442333
1538821377 779 2 409908
1538821751 1153 2 365644
1538822120 1522 2 445427
1538822508 1910 2 404178
1538822881 2283 2 385050
1538823250 2652 2 442093
1538823631 3033 2 356359
1538823990 3392 2 343348
1538824359 3761 2 310919
1538824728 4130 2 313301
1538825101 4503 1 334420
1538825463 4865 1 251311
1538825836 5238 1 345698
1538826199 5601 1 492514
1538826596 5998 1 390503
1538826966 6368 1 298414
1538827329 6731 1 404513

1538828809 2 1 159721
1538829196 389 1 379596
1538829584 777 2 475228
1538829947 1140 2 398364
1538830320 1513 2 491412
1538830701 1894 2 366902
1538831077 2270 2 468265
1538831450 2643 2 449266
1538831861 3054 2 446214
1538832223 3416 2 450542
1538832596 3789 2 332711
1538832969 4162 2 248264
1538833332 4525 1 302021
1538833635 4828 1 250334
1538834008 5201 1 258720
1538834311 5504 1 313188
1538834721 5914 1 364800
1538835133 6326 1 354927
1538835506 6699 2 435035
1538835878 7071 2 435035
1538836180 7373 2 435035

1538836936 3 1 149028
1538837317 384 1 380247
1538837729 796 2 423111
1538838103 1170 2 291753
1538838476 1543 2 321992
1538838849 1916 2 396231
1538839221 2288 2 398379
1538839589 2656 1 503364
1538840017 3084 2 396195
1538840392 3459 2 411657
1538840695 3762 2 328192
1538841064 4131 1 274892
1538841437 4504 1 416213
1538841834 4901 1 307305
1538842203 5270 1 268291
1538842575 5642 1 426934
1538842981 6048 1 387390
1538843355 6422 2 407408
1538843724 6791 1 499265

1538848211 2 1 153077
1538848592 383 1 349090
1538848973 764 1 442080
1538849370 1161 1 315639
1538849743 1534 1 488273
1538850125 1916 1 438438
1538850496 2287 1 438438
1538850869 2660 1 330781
1538851250 3041 1 449070
1538851631 3422 1 308968
1538852005 3796 1 328100
1538852373 4164 1 319052
1538852755 4546 1 456122
1538853152 4943 1 288899
1538853531 5322 1 426704
1538853912 5703 1 316544
1538854285 6076 1 326419
1538854657 6448 1 323268
1538855026 6817 1 330964
1538855395 7186 1 84866

1538857154 2 1 137269
1538857551 399 1 330420
1538857932 780 1 416989
1538858301 1149 1 411290
1538858682 1530 1 313234
1538859051 1899 1 286163
1538859419 2267 1 319803
1538859786 2634 1 319803
1538860154 3002 1 412409
1538860535 3383 1 300039
1538860897 3745 1 300039
1538861266 4114 1 274647
1538861634 4482 1 296722
1538861937 4785 1 295313
1538862240 5088 1 302443
1538862543 5391 1 290343
1538862846 5694 1 304553
1538863150 5998 1 301157
1538863453 6301 1 419840
1538863826 6674 1 408562
1538864129 6977 1 409477
1538864432 7280 1 55607

1538865205 2 1 159769
1538865602 399 1 360252
1538865982 779 2 439522
1538866355 1152 2 301846
1538866728 1525 2 326614
1538867101 1898 2 303980
1538867404 2201 2 363483
1538867776 2573 2 399541
1538868149 2946 2 362881
1538868521 3318 2 325418
1538868890 3687 2 301641
1538869193 3990 2 273272
1538869591 4388 2 343981
1538869964 4761 1 312082
1538870267 5064 1 287784
1538870635 5432 1 298254
1538871004 5801 1 423920
1538871377 6174 1 428950
1538871773 6570 1 293422
1538872142 6939 1 317752
1538872544 7341 2 340432
1538926312 2 1 154705
1538926396 3 1 112886
1538926416 2 1 112886
1538926475 3 1 111797
1538926757 3 1 117200
1538927162 2 1 159072
1538927213 3 1 158894
1538927271 4 1 159025
1538927420 2 1 117961
1538927698 3 1 157784
