1538820550 3 1 305644
1538820601 3 1 228525
1538820979 381 1 927522
1538821377 779 2 866208
1538821751 1153 2 788654
1538822120 1522 2 927442
1538822508 1910 2 837012
1538822881 2283 2 829926
1538823250 2652 2 936739
1538823631 3033 2 750526
1538823990 3392 2 755591
1538824359 3761 2 680366
1538824728 4130 2 653962
1538825101 4503 1 699983
1538825463 4865 1 551191
1538825836 5238 1 726682
1538826199 5601 1 1056869
1538826596 5998 1 752003
1538826966 6368 2 754749
1538827329 6731 2 848418
1538827691 7093 2 0
